Time,ASS MY LIST,CT ASSIGN,UNVIEWED
22/10/2025 12:42:35 am,3,0,41
22/10/2025 12:57:33 am,0,0,46
22/10/2025 01:07:57 am,0,0,48
22/10/2025 01:19:58 am,0,0,48
22/10/2025 01:46:51 am,1,0,55
22/10/2025 02:12:08 am,1,0,57
22/10/2025 02:21:06 am,2,0,59
22/10/2025 02:43:38 am,1,0,64
22/10/2025 03:00:00 am,1,0,65
22/10/2025 03:08:46 am,2,0,65
22/10/2025 03:19:56 am,2,0,65
22/10/2025 03:43:42 am,2,0,65
22/10/2025 04:00:50 am,2,0,65
22/10/2025 04:11:45 am,2,0,65
22/10/2025 04:20:02 am,2,0,65
22/10/2025 04:44:21 am,0,0,67
22/10/2025 04:59:52 am,1,0,67
22/10/2025 05:10:24 am,1,0,68
22/10/2025 05:19:39 am,1,0,68
22/10/2025 06:35:13 am,0,0,66
22/10/2025 08:18:57 am,0,0,113
22/10/2025 09:12:02 am,0,0,113
22/10/2025 09:30:08 am,0,0,113
22/10/2025 09:57:16 am,0,0,108
22/10/2025 10:14:08 am,0,0,106
22/10/2025 10:24:02 am,0,0,106
22/10/2025 10:45:16 am,0,0,106
22/10/2025 11:04:58 am,1,0,104
22/10/2025 11:20:02 am,1,0,102
22/10/2025 11:52:14 am,0,0,103
22/10/2025 12:20:59 pm,0,0,103
22/10/2025 12:45:03 pm,0,0,103
22/10/2025 01:02:04 pm,0,0,103
22/10/2025 01:19:19 pm,0,0,103
22/10/2025 01:51:44 pm,0,0,103
22/10/2025 02:19:16 pm,0,0,103
22/10/2025 02:47:29 pm,0,0,98
22/10/2025 03:12:54 pm,0,0,88
22/10/2025 03:21:58 pm,0,0,88
22/10/2025 03:47:00 pm,0,0,83
22/10/2025 04:14:51 pm,0,0,66
22/10/2025 04:24:32 pm,0,0,63
22/10/2025 04:43:40 pm,0,0,58
22/10/2025 04:59:09 pm,0,0,52
22/10/2025 05:10:14 pm,1,0,47
22/10/2025 05:19:13 pm,0,0,46
22/10/2025 05:59:35 pm,0,0,48
22/10/2025 06:40:41 pm,1,0,47
22/10/2025 07:15:13 pm,0,0,37
22/10/2025 07:27:02 pm,0,0,32
22/10/2025 07:47:12 pm,0,0,29
22/10/2025 08:16:27 pm,1,0,22
22/10/2025 08:27:38 pm,0,0,23
22/10/2025 08:47:10 pm,0,0,20
22/10/2025 09:11:59 pm,2,0,22
22/10/2025 09:20:07 pm,1,0,22
22/10/2025 09:49:16 pm,2,0,22
22/10/2025 10:18:27 pm,0,0,25
22/10/2025 10:44:29 pm,1,0,25
22/10/2025 11:00:56 pm,0,0,29
22/10/2025 11:12:45 pm,0,0,29
22/10/2025 11:21:16 pm,0,0,29
22/10/2025 11:52:27 pm,5,0,31
23/10/2025 12:20:15 am,3,0,38
23/10/2025 12:42:22 am,5,0,39
23/10/2025 12:54:40 am,1,0,44
23/10/2025 01:07:00 am,1,0,75
23/10/2025 01:20:06 am,0,0,77
23/10/2025 01:47:50 am,2,0,90
23/10/2025 02:10:12 am,2,0,91
23/10/2025 02:19:03 am,2,0,91
23/10/2025 02:42:00 am,0,0,99
23/10/2025 02:54:42 am,1,0,101
23/10/2025 03:05:35 am,2,0,101
23/10/2025 03:19:47 am,1,0,103
23/10/2025 03:42:12 am,4,0,107
23/10/2025 03:58:45 am,4,0,107
23/10/2025 04:07:28 am,4,0,107
23/10/2025 04:19:36 am,5,0,107
23/10/2025 04:42:46 am,8,0,110
23/10/2025 04:57:36 am,4,0,113
23/10/2025 05:06:58 am,4,0,113
23/10/2025 05:19:38 am,3,0,113
23/10/2025 06:33:39 am,0,0,115
23/10/2025 08:13:12 am,0,0,104
23/10/2025 08:58:03 am,0,0,104
23/10/2025 09:20:12 am,0,0,104
23/10/2025 09:47:24 am,0,0,104
23/10/2025 10:12:36 am,0,0,104
23/10/2025 10:21:52 am,0,0,104
23/10/2025 10:45:18 am,0,0,102
23/10/2025 11:03:59 am,0,0,102
23/10/2025 11:19:56 am,0,0,96
23/10/2025 11:52:03 am,1,0,92
23/10/2025 12:19:58 pm,1,0,86
23/10/2025 12:45:11 pm,1,0,76
23/10/2025 01:01:30 pm,1,0,67
23/10/2025 01:12:46 pm,1,0,59
23/10/2025 01:20:28 pm,1,0,55
23/10/2025 01:50:21 pm,0,0,40
23/10/2025 02:17:49 pm,0,0,27
23/10/2025 02:46:28 pm,0,0,17
23/10/2025 03:05:34 pm,0,0,13
23/10/2025 03:20:30 pm,0,0,8
23/10/2025 03:46:40 pm,0,0,6
23/10/2025 04:13:44 pm,1,0,0
23/10/2025 04:21:31 pm,1,0,0
23/10/2025 04:43:28 pm,1,0,0
23/10/2025 04:58:37 pm,1,0,0
23/10/2025 05:08:42 pm,1,0,0
23/10/2025 05:19:48 pm,1,0,0
23/10/2025 05:59:47 pm,1,0,0
23/10/2025 06:39:37 pm,2,0,2
23/10/2025 07:14:12 pm,3,0,4
23/10/2025 07:25:32 pm,3,0,4
23/10/2025 07:45:38 pm,1,0,7
